"priority","document","id","grade","page","categories","warnings","source_pdf","text"
"critical-review","3. Prevention or Delay of Diabetes and Associated Comorbidities Standards of Care in Diabetes—2025","3.15","A","7","Pregnancy and childbearing; Children and adolescents; Cardiovascular disease and BP/lipids; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects; Diagnosis, screening, or numeric thresholds; Procedures, surgery, technology, or devices","very-long","guidelines-sources/ADA/2025/3. Prevention or Delay of Diabetes and Associated Comorbidities Standards of Care in Diabetes—2025.pdf","Teplizumab-mzwv infusion to delay the onset of symptomatic type 1 diabetes (stage 3) should be discussed with selected individuals aged ≥8 years with stage 2 type 1 diabetes.Treatment should be in a setting with appropriately trained personnel. B Teplizumab, a CD3-directed humanized monoclonal antibody engineered to have decreased Fc receptor binding, has been approved to delay the onset of stage 3 type 1 diabetes in people 8 years of age and older with stage 2 type 1 diabetes based in part on the results of a single trial in relatives of people with type 1 diabetes (121). In this study, 44 individuals were randomized to a 14-day course of teplizumab and 32 to placebo. The median time to stage 3 type 1 diabetes diagnosis was 48.4 months in the teplizumab group and 24.4 months in the placebo group. Type 1 diabetes was diagnosed in 19 (43%) participants who received teplizumab and 23 (72%) participants who received placebo (HR 0.41 [95% CI 0.22–0.78]). In prespecified analyses, the presence of HLA-DR4, absence of HLA-DR3, and absence of anti-zinc transporter 8 antibody predicted response to teplizumab (HR 0.20 [95% CI 09.0.45], 0.18 [0.07–0.45], and 0.07 [0.02–0.26], respectively). The most common adverse reactions were transient lymphopenia (73%) followed by rash (36%). Numerous clinical studies are being conducted to test methods for preventing or delaying the onset of stage 3 type 1 diabetes in those with evidence of autoimmunity without symptoms or for delaying loss of insulin secretory capacity after onset of stage 3, some with promising results (see ClinicalTrials.gov and TrialNet.org). References 1. Ziegler AG, Rewers M, Simell O, et al. Seroconversion to multiple islet autoantibodies and risk of progression to diabetes in children. JAMA 2013;309:2473–2479 2. Steck AK, Dong F, Taki I, et al. Continuous glucose monitoring predicts progression to diabetes in autoantibody positive children. J Clin Endocrinol Metab 2019;104:3337–3344 3. Ylescupidez A, Speake C, Pietropaolo SL, et al. OGTT metrics surpass continuous glucose monitoring data for T1D prediction in multipleautoantibody-positive individuals. J Clin Endocrinol Metab 2023;109:57–67 4. Phillip M, Achenbach P, Addala A, et al. Consensus guidance for monitoring individuals with islet autoantibody–positive pre-stage 3 type 1 diabetes. Diabetes Care 2024;47:1276–1298 5. Knowler WC, Barrett-Connor E, Fowler SE, et al. Reduction in the incidence of type 2 diabetes with lifestyle intervention or metformin. N Engl J Med 2002;346:393–403 6. Lindstr€ om J, Ilanne-Parikka P, Peltonen M, et al. Sustained reduction in the incidence of type 2 diabetes by lifestyle intervention: follow-up of the Finnish Diabetes Prevention Study. Lancet 2006; 368:1673–1679 7. Li G, Zhang P, Wang J, et al. Cardiovascular mortality, all-cause mortality, and diabetes incidence after lifestyle intervention for people with impaired glucose tolerance in the Da Qing Diabetes Prevention Study: a 23-year follow-up study. Lancet Diabetes Endocrinol 2014;2:474–480 8. Nathan DM, Bennett PH, Crandall JP, et al. Does diabetes prevention translate into reduced long-term vascular complications of diabetes? Diabetologia 2019;62:1319–1328 9. Gong Q, Zhang P,Wang J, et al. Morbidity and mortality after lifestyle intervention for people with impaired glucose tolerance: 30-year results of the Da Qing Diabetes Prevention Outcome Study. Lancet Diabetes Endocrinol 2019;7: 452–461 10. Knowler WC, Fowler SE, Hamman RF, et al. 10-year follow-up of diabetes incidence and weight loss in the Diabetes Prevention Program Outcomes Study. Lancet 2009;374:1677–1686 11. Diabetes Prevention Program Research Group. Long-term effects of lifestyle intervention or metformin on diabetes development and microvascular complications over 15-year follow-up: the Diabetes Prevention Program Outcomes Study. Lancet Diabetes Endocrinol 2015;3:866–875 12. Diabetes Prevention Program (DPP) Research Group. The Diabetes Prevention Program (DPP): description of lifestyle intervention. Diabetes Care 2002;25:2165–2171 13. Hamman RF, Wing RR, Edelstein SL, et al. Effect of weight loss with lifestyle intervention on risk of diabetes. Diabetes Care 2006;29:2102–2107 14. Goldberg RB, Orchard TJ, Crandall JP, et al. Effects of long-term metformin and lifestyle interventions on cardiovascular events in the Diabetes Prevention Program and its outcome study. Circulation 2022;145:1632–1641 15. Evert AB, Dennison M, Gardner CD, et al. Nutrition therapy for adults with diabetes or prediabetes: a consensus report. Diabetes Care 2019;42:731–754 16. U.S. Department of Agriculture and U.S. Department of Health and Human Services. Dietary Guidelines for Americans, 2020–2025. 9th Ed. Accessed 7 August 2024. Available from https://www.dietaryguidelines.gov/resources/ 2020-2025-dietary-guidelines-online-materials 17. Salas-Salvad o J, Guasch-Ferr e M, Lee CH, Estruch R, Clish CB, Ros E. Protective effects of the Mediterranean diet on type 2 diabetes and metabolic syndrome. J Nutr 2015;146:920s–927s 18. Estruch R, Ros E, Salas-Salvad o J, et al. Primary prevention of cardiovascular disease with a Mediterranean diet supplemented with extra-virgin olive oil or nuts. N Engl J Med 2018;378:e34 19. Stentz FB, Brewer A, Wan J, et al. Remission of pre-diabetes to normal glucose tolerance in obese adults with high protein versus high carbohydrate diet: randomized control trial. BMJ Open Diabetes Res Care 2016;4:e000258 20. Jardine MA, Kahleova H, Levin SM, Ali Z, Trapp CB, Barnard ND. Perspective: plant-based eating pattern for type 2 diabetes prevention and treatment: efficacy, mechanisms, and practical considerations. Adv Nutr 2021;12:2045–2055 21. Lee Y, Park K. Adherence to a vegetarian diet and diabetes risk: a systematic review and metaanalysis of observational studies. Nutrients 2017; 9:603 22. Qian F, Liu G, Hu FB, Bhupathiraju SN, Sun Q. Association between plant-based dietary patterns and risk of type 2 diabetes: a systematic review and meta-analysis. JAMA Intern Med 2019;179: 1335–1344 23. Esposito K, Chiodini P, Maiorino MI, Bellastella G, Panagiotakos D, Giugliano D. Which diet for prevention of type 2 diabetes? A metaanalysis of prospective studies. Endocrine 2014; 47:107–116 24. Yau JW, Thor SM, Ramadas A. Nutritional strategies in prediabetes: a scoping review of recent evidence. Nutrients 2020;12:2990 25. Ley SH, Hamdy O, Mohan V, Hu FB. Prevention and management of type 2 diabetes: dietary components and nutritional strategies. Lancet 2014;383:1999–2007 26. Parker AR, Byham-Gray L, Denmark R, Winkle PJ.The effect of medical nutrition therapy by a registered dietitian nutritionist in patients with prediabetes participating in a randomized controlled clinical research trial. J Acad Nutr Diet 2014;114:1739–1748 27. Fedewa MV, Gist NH, Evans EM, Dishman RK. Exercise and insulin resistance in youth: a meta-analysis. Pediatrics 2014;133:e163–e174 28. Davis CL, Pollock NK,Waller JL, et al. Exercise dose and diabetes risk in overweight and obese children: a randomized controlled trial. JAMA 2012;308:1103–1112 29. Dai X, Zhai L, Chen Q, et al. Two-yearsupervised resistance training prevented diabetes incidence in people with prediabetes: a randomised control trial. Diabetes Metab Res Rev 2019;35:e3143 30. Thorp AA, Kingwell BA, Sethi P, Hammond L, Owen N, Dunstan DW. Alternating bouts of sitting and standing attenuate postprandial glucose responses. Med Sci Sports Exerc 2014;46:2053–2061 31. Russo LM, Nobles C, Ertel KA, Chasan-Taber L,Whitcomb BW. Physical activity interventions in pregnancy and risk of gestational diabetes mellitus: a systematic review and meta-analysis. Obstet Gynecol 2015;125:576–582 32. Henson J, Covenant A, Hall AP, et al. Waking up to the importance of sleep in type 2 diabetes management: a narrative review. Diabetes Care 2024;47:331–343 33. Davies MJ, Aroda VR, Collins BS, et al. Management of hyperglycemia in type 2 diabetes, 2022."
"critical-review","5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025","5.33","A","13","Acute emergency risk; CKD and renal dosing; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects; Older adults, frailty, and deintensification; Diagnosis, screening, or numeric thresholds; Procedures, surgery, technology, or devices","very-long","guidelines-sources/ADA/2025/5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025.pdf","Assess and optimize treatment plan, dose, and timing for people with diabetes well in advance of religious fasting to reduce risk of hypoglycemia, dehydration, hyperglycemia, and/or ketoacidosis. B Although intermittent fasting and timerestricted eating are specific dietary strategies for energy restriction, religious fasting has been practiced for thousands of years and is part of many faith-based traditions. Duration, frequency, and type of fast vary among different religions (226). For example, Jewish people abstain from any intake for 25 h during Yom Kippur (227,228). For Muslims, Ramadan fasting lasts for a full month, when abstinence from any food or drink is required from dawn to dusk (229). Individuals with diabetes who fast have an increased risk for hypoglycemia, dehydration, hyperglycemia, and ketoacidosis (230,231). Prefasting risk assessment is essential to increase level of safety (230,231). Various risk factors need to be considered for every individual wishing to fast. Some of these factors are related to the type of fast, type of diabetes, and/or the individual. Indeed, health care professionals should inquire about any religious fasting for people with diabetes and provide education and support to accommodate their choice. The number of days of fasting is an important factor to consider. In Ramadan fasting, a person fasts from dawn to dusk for a lunar month (29–30 days). It is important for the health care professional to comprehensively assess these risk factors well in advance of fasting date, as some of them are modifiable. Some of these factors are related to the nature of the fasting practice, others are related to diabetes, and others might be due to individual factors. The International Diabetes Federation along with Diabetes and Ramadan International Alliance adopted a risk calculator for the various risk factors (230,232). Several clinical studies from different countries have been published that assess the validity of the fasting risk score and the ease of use of it (232–235). The accumulation of these risk factors provides a risk score as low, moderate, or high (Table 5.4) (230). While the risks of different religious fasting practices may vary, this risk calculator provides some useful guidance for other religious fasting. Prefasting education regarding the importance of increasing the frequency of glucose monitoring for people wishing to fast is very important. The timing of glucose monitoring is also especially important, as the last few hours of fasting are frequently associated with approximately 50% of hypoglycemic events (236). Consequently, avoiding intense physical activity during the last few hours of fasting seems to be a sensible approach. During religious fasting, some people change their nutrition habits and overindulge after fasting concludes. In many communities, the meal consumed to break the fast is rich in carbohydrates and includes foods and beverages high in added sugars and fat (230). Indeed, in a recent study in type 2 diabetes, 16.5% of people with diabetes who fasted for Ramadan reported high blood glucose of >300 mg/dL (>16.6 mmol/L) during fasting days (236). Individualized fluid adjustment and meal advice should be provided with emphasis on higher intake of fiber and replacing added sugars with complex carbohydrates to minimize hypoglycemia and hyperglycemia and emphasis on sustaining adequate daily fluid intake (237). Treatment before and after fasting should be culturally sensitive and individualized. Specific recommendations for diabetes management during religious fasting in different faiths are available (230,231). In general, for people planning to fast for long hours and for multiple consecutive days, choice of treatment should prioritize drugs with low hypoglycemia risk. Hypoglycemia risk while fasting in people using insulin, sulfonylureas, and other insulin secretagogues is higher than those treated with other types of diabetes medications (230). The safety of SGLT2 inhibitors was assessed in several studies during Ramadan fasting. These studies did not show significant change in kidney function, dehydration rates, or ketosis (238). Guidelines do not advise any change in SGLT2 inhibitor dose during fasting; however, they advise against initiating SGLT2 inhibitors close to the start of fasting days to avoid excessive thirst (230). Table 5.5 summarizes the effect of fasting on different treatment options and the possible change in doses or timing for people with diabetes. Technology could be an important tool to enhance safety during fasting. Several studies have investigated the use of monitoring technology during Ramadan fasting (e.g., flash glucose monitoring and realtime CGM [rtCGM]) and confirmed that these tools are able to support high-risk groups wishing to fast, especially if combined with Ramadan-focused education (238–240). Meanwhile, the use of insulin pumps has been associated with low rates of hypoglycemia during fasting in people with type 1 diabetes. Diabetes technologies should be considered as a useful adjunct to risk calculation and/or nutrition planning and education during religious fasting for people with diabetes (230). Malnutrition Malnutrition is defined by the World Health Organization as “deficiencies, excesses, or imbalances in a person’s intake of energy and/or nutrients.” Malnutrition can occur in people of varying weight status, with the “double burden” of obesity and malnutrition being increasingly recognized among those with chronic conditions. Malnutrition is also more likely to develop in populations experiencing poverty and in older age-groups (241). Often, malnutrition and sarcopenia, which is a condition of loss in lean body mass combined with declined strength and functionality among older adults, codevelop (242)."
"critical-review","5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025","5.9","A","2","Acute emergency risk; Children and adolescents; Contraindications, warnings, and adverse effects; Older adults, frailty, and deintensification; Diagnosis, screening, or numeric thresholds; Therapy substitution, access, or affordability; Procedures, surgery, technology, or devices","very-long","guidelines-sources/ADA/2025/5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025.pdf","Screen for and include social determinants of health in guiding design and delivery of DSMES C with the ultimate goal of health equity across all populations. The overall objectives of DSMES are to support informed decision-making, selfcare behaviors, problem-solving, and active collaboration with the health care team to improve clinical outcomes, health status, and well-being in a costeffective manner (2). DSMES services facilitate the knowledge, decision-making, and skills mastery necessary for optimal diabetes self-care and incorporate the needs, goals, and life experiences of the person with diabetes (9). When providing DSMES, health care professionals should consider the individual’s burden of treatment, level of self-efficacy for self-care behaviors, and degree of social and family support. Engagement in selfmanagement behaviors and subsequent clinical outcomes, health status, and quality of life, in addition to psychosocial factors affecting the person’s ability to self-manage, should be monitored routinely. A randomized controlled trial (RCT) that evaluated a decision-making education and skill-building program (10) showed that addressing these aims improved health outcomes in a population in need of health care resources. Furthermore, following a DSMES curriculum improves quality of care (11). Use of judgmental words is associated with increased feelings of shame and guilt; therefore, health care professionals should consider the impact language has on building therapeutic and productive relationships. Health care professionals should use positive, strength-based words and phrases putting people first (4). Please see Section 4, “Comprehensive Medical Evaluation and Assessment of Comorbidities,” for more on use of language. In accordance with the “2022 National Standards for Diabetes Self-Management Education and Support” (here referred to as the National Standards for DSMES) (9), all people with diabetes should participate in developmentally appropriate and culturally sensitive DSMES, as it helps people with diabetes identify and implement effective self-management strategies and coping skills (2). DSMES includes collaborative goal setting that improves empowerment, self-management, and quality of life as the person with diabetes encounters new challenges and as advances in treatment become available (12–14). Moreover, DSMES should be thought of as an ongoing process—not a one-time occurrence. The National Standards for DSMES (9) include delivery of content addressing: • Pathophysiology of diabetes and treatment options • Healthy coping • Healthy eating • Being active • Taking medication • Monitoring • Reducing risk (treating acute and chronic complications) • Problem solving and behavior change strategies In addition to providing DSMES upon diagnosis, there are additional critical time points when the need for DSMES should be evaluated by the health care professional and/or interprofessional team, with referrals made as needed (2): • Annually and/or when not meeting treatment goals, whichever is more frequent • When complicating factors (e.g., health conditions, physical or functional limitations, emotional factors, and basic living needs) that influence selfmanagement develop • When transitions in life and care occur DSMES empowers individuals with diabetes by providing them with tools to make informed self-management decisions (4). DSMES should be person-centered— placing the person with diabetes and their family and/or support system at the center of the care model as they work in collaboration with health care professionals. Person-centered care is respectful of and responsive to individual and cultural preferences, needs, and values. It ensures the values of the person with diabetes guide all decision-making (15). Evidence for the Benefits DSMES is associated with improved diabetes knowledge and self-care behaviors (16,17), lower A1C (16–21), lower self-reported weight (22), improved quality of life (23,24), reduced all-cause mortality risk (25), positive coping behaviors (5,26), and lower health care costs (27–29). DSMES is also associated with an increased use of primary care and preventive services (27,30) and less frequent use of acute care and inpatient hospital services (22). People with diabetes who participate in DSMES are more likely to follow best practice treatment recommendations, particularly those with Medicare, and have lower Medicare and insurance claim costs (28,30). Better outcomes were reported for DSMES interventions that were >10 h over the course of 6–12 months (19), included ongoing support (12,13,31), were culturally (30,32–34) and age appropriate (35,36), were tailored to individual needs and preferences, addressed psychosocial issues, and incorporated behavioral strategies (4,26, 37,38). Individual and group approaches are effective (22,39,40), with a slight benefit realized by those who engage in both (19). Strong evidence now exists for the benefits of telehealth, telemedicine, and telephone-based or internet-based (i.e., virtual) DSMES for diabetes prevention and management in a wide variety of populations and age-groups (9,41–44). When feasible, the best choice for delivery of DSMES is that which will align with individual preferences."
"critical-review","4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025","4.17","A","12","Acute emergency risk; CKD and renal dosing; Cardiovascular disease and BP/lipids; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects; Older adults, frailty, and deintensification","very-long","guidelines-sources/ADA/2025/4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025.pdf","Assess for disability at the initial visit and for decline in function at each subsequent visit in people with diabetes. If a disability is impacting functional ability or capacity to manage their diabetes, a referral should be made to an appropriate health care professional specializing in disability (e.g., physical medicine and rehabilitation specialist, physical therapist, occupational therapist, or speechlanguage pathologist). C A disability is defined as a physical or mental impairment that substantially limits one or more major life activities of an individual (131,132). Activities of daily living (ADLs) and instrumental activities of daily living (IADLs) comprise basic and complex life care tasks, respectively. The capacity to accomplish such tasks serves as an important measure of function. Diabetes is associated with an increase in the risk of work and physical disability, with estimates of 50–80% increased risk of disability for people with diabetes compared with people without diabetes (133). Reviews have shown that lower-body functional limitation was the most prevalent disability (47–84%) among people with diabetes (134,135). In a systematic review and meta-analysis, the presence of diabetes increased the risk of mobility disability (15 studies; odds ratio [OR] 1.71 [95% CI 1.53–1.91]; RR 1.51 [95% CI 1.38–1.64]), of IADL disability (10 studies; OR 1.65 [95% CI 1.55–1.74]), and of ADL disability (16 studies; OR 1.82 [95% CI 1.63–2.04]; RR 1.82 [95% CI 1.40–2.36]) (133). The mechanisms underlying disability are multifactorial and include obesity, coronary artery disease, stroke, lower extremity complications, and physiological factors such as hyperglycemia, sarcopenia, inflammation, and insulin resistance (136). Diabetic peripheral neuropathy (DPN) is a common complication of both type 1 and 2 diabetes and may cause impaired postural balance and gait kinematics (137), leading to functional disability. DPN can be found in up to half of people with type 1 or type 2 diabetes, resulting in physical disability, and neuropathic pain, resulting in a diminished quality of life (138). Glycemic management prevents DPN development in type 1 diabetes; in contrast, glycemic management has modest or no benefit in individuals with type 2 diabetes, possibly due to the combined effect of coexisting comorbidities (138). People with lower-extremity involvement due to DPN have 3 times more risk of restricted mobility, resulting in people with DPN experiencing more physical dysfunctions and impairments than people who have diabetes but not neuropathy (139). Furthermore, DPN may progress to nontraumatic lower-limb amputation, which significantly impacts quality of life (140). In addition to complications of diabetes from microvascular conditions such as CKD, retinopathy, autonomic neuropathy, and peripheral neuropathy, it is important to recognize the disabilities caused by macrovascular complications of diabetes. These macrovascular complications, which include coronary heart disease, stroke, and peripheral arterial disease, can lead to further impairments (134). An assessment of disability should be performed as necessary with referrals made to appropriate health care professionals specializing in disability (e.g., physical medicine and rehabilitation physician, physical therapist, occupational therapist, or speech-language pathologist) (133,141, 142). Customized rehabilitation interventions for individuals with a disability from diabetes can recover function, allowing for safe physical activity (143), and improve quality of life (144). Additionally, frailty is commonly associated with diabetes, with progression to disability, morbidity, and mortality in older adults. People with diabetes as well as frailty or disability may contend with comorbid conditions such as hypoglycemia, sarcopenia, falls, and cognitive dysfunction. A thorough medical evaluation is imperative to identify the best approaches to preventative and therapeutic interventions for frailty and diabetes management (145). To assess the impact of diabetes on an individual’s daily functioning, clinicians should consider evaluating their ability to perform ADLs and IADLs, ensuring they can manage basic self-care and more complex tasks necessary for specific living situations, services, and supports."
"critical-review","5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025","5.61","A","28","Pregnancy and childbearing; Children and adolescents; Cardiovascular disease and BP/lipids; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects; Diagnosis, screening, or numeric thresholds","very-long","guidelines-sources/ADA/2025/5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025.pdf","Counsel people with diabetes to practice sleep-promoting routines and habits. A The associations between sleep problems and diabetes are complex: sleep disorders are a risk factor for developing type 2 diabetes (498,499) and possibly gestational diabetes mellitus (500). People with diabetes across the life span often experience sleep disruptions and reduced sleep quality (501,502), and sleep problems are also common in parents of youth with diabetes, especially soon after diagnosis (503,504). Disrupted sleep and sleep disorders, including obstructive sleep apnea (OSA) (505), insomnia, and sleep disturbances (506), are common among people with diabetes. In type 1 diabetes, estimates of poor sleep range from 30% to 50% (507), and estimates of moderate to severe OSA are >50% (505). In type 2 diabetes, 24–86% of people are estimated to have OSA (508), 39% to have insomnia, and 8–45% to have restless leg syndrome (i.e., an uncontrollable urge to move legs) (509). Further, people with type 2 diabetes and restless leg syndrome are more likely to experience microvascular and macrovascular complications (510) as well as depression (511). Additionally, people with diabetes who perform shift work increase their risk for circadian rhythm disorders, which are associated with higher A1C (512), neuropathy (513), and decreased psychological well-being (513). Health care professionals should consider a comprehensive evaluation of the daily lifestyles of people with diabetes to decrease risk factors, including low sleep duration, shift work, and days off, given their associations with hyperglycemia, hypertension, dyslipidemia, and weight gain (514). The high prevalence of OSA in people with diabetes poses significant clinical implications for diabetes management. Sleep fragmentation and hypoxemia activate the sympathetic nervous system, contributing to hyperglycemia, insulin resistance, increased circulating free fatty acids, impaired microcirculation, oxidative stress, and psychological stress (515)."
"critical-review","9. Pharmacologic Approaches to Glycemic Treatment","9.30","E","16","Acute emergency risk; CKD and renal dosing; Cardiovascular disease and BP/lipids; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects; Therapy substitution, access, or affordability","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","In adults with diabetes and cost-related barriers, consider use of lower-cost medications for glycemic management (i.e., metformin, sulfonylureas, thiazolidinediones, and human insulin) within the context of their risks for hypoglycemia, weight gain, cardiovascular and kidney events, and other adverse effects."
"critical-review","10. Cardiovascular Disease and Risk Management","10.42a","A","16","Acute emergency risk; CKD and renal dosing; Cardiovascular disease and BP/lipids; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In people with type 2 diabetes and established ASCVD, multiple ASCVD risk factors, or chronic kidney disease (CKD), an SGLT2 inhibitor with demonstrated cardiovascular benefit is recommended to reduce the risk of major adverse cardiovascular events and/or heart failure hospitalization."
"critical-review","9. Pharmacologic Approaches to Glycemic Treatment","9.8","E","7","Acute emergency risk; CKD and renal dosing; Cardiovascular disease and BP/lipids; Contraindications, warnings, and adverse effects; Therapy substitution, access, or affordability","missing-spaces","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","A person-centered shared decisionmaking approach should guide the choice of glucose-lowering medications for adults with type 2 diabetes. Use medications that provide sufficient effectiveness to achieve and maintain intended treatment goals with consideration of the effects on cardiovascular, kidney, weight, and other relevant comorbidities; hypoglycemia risk; cost and access; risk for adverse reactions and tolerability; and individual preferences (Fig. 9.3 and Table 9.2)."
"critical-review","14. Children and Adolescents","14.69","A","12","Acute emergency risk; Children and adolescents; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects; Procedures, surgery, technology, or devices","very-long","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","In individuals initially treated with insulin and metformin and/or other glucose-lowering medications who are meeting glucose goals based on blood glucose monitoring or CGM, insulin can be tapered over 2–6 weeks by decreasing the insulin dose 10–30% every few days. B Treatment of youth-onset type 2 diabetes should include lifestyle management, DSMES, and pharmacologic treatment. Initial treatment of youth with obesity and diabetes must consider that diabetes type is often uncertain in the first few weeks of treatment due to overlap in presentation and that a substantial percentage of youth with type 2 diabetes will present with clinically significant ketoacidosis (194). Therefore, initial therapy should address the hyperglycemia and associated metabolic derangements irrespective of ultimate diabetes type, with adjustment of therapy once metabolic compensation has been established and subsequent information, such as islet autoantibody results, becomes available. Figure 14.1 provides an approach to the initial treatment of newonset diabetes in youth with overweight or obesity with clinical suspicion of type 2 diabetes. Glycemic goals should be individualized, taking into consideration the longterm health benefits of more stringent goals and risk for adverse effects, such as hypoglycemia."
"critical-review","14. Children and Adolescents","14.71","A","14","Children and adolescents; Cardiovascular disease and BP/lipids; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects; Procedures, surgery, technology, or devices","very-long","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Metabolic surgery should be performed only by an experienced surgeon working as part of a well-organized and engaged interprofessional team, including a surgeon, endocrinologist, registered dietitian nutritionist, behavioral health specialist, and nurse. A The results of weight loss and lifestyle interventions for obesity in children and adolescents have been disappointing, and treatment options as adjuncts to lifestyle therapy are limited. Recent U.S. Food and Drug Administration–approved medications for youth ages 12 years and older include phentermine and topiramate extendedrelease capsules and GLP-1 receptor agonists (211,215–217). Over the last decade, weight loss surgery has been increasingly performed in adolescents with obesity. Small retrospective analyses and a prospective multicenter, nonrandomized study suggest that bariatric or metabolic surgery have benefits in adolescents with obesity and type 2 diabetes like those observed in adults. Early follow-up studies indicate that adolescents experience similar degrees of weight loss compared with adults and even higher rates of type 2 diabetes and hypertension remission (218). A secondary data analysis from the Teen-Longitudinal Assessment of Bariatric Surgery (Teen-LABS) and TODAY studies suggests surgical treatment of adolescents with severe obesity and type 2 diabetes is associated with improved glycemia compared with the agents used in the TODAY study (219); however, no randomized trials have compared the effectiveness and safety of surgery with those of conventional treatment options in adolescents and particularly with the vertical sleeve gastrectomy, which is the most widely performed metabolic surgery in adolescents (220). The guidelines used as an indication for metabolic surgery in adolescents generally include class 2 obesity or higher (BMI >35 kg/m2 or >120% of 95th percentile for age and sex, whichever is lower, with comorbidities) or BMI >40 kg/m2 with or without comorbidities (221–227)."
