"status","topic_id","title","issues","numeric_claims","unverified_numeric_claims","source_ids"
"source-supported","health-behaviors-full","5. Positive Health Behaviors and Well-being","","","","health-behaviors"
"source-supported","glycemic-goals-full","6. Glycemic Goals and Hypoglycemia","","<7%; 70-180 mg/dL; >70%; >250 mg/dL; <5%; 181-250 mg/dL; <25%; <=36%; <70 mg/dL; <4%; <54 mg/dL; <1%; >=54 mg/dL; 54-69 mg/dL","","glycemic-goals"
"source-supported","technology-full","7. Diabetes Technology","","","","diabetes-technology"
"source-supported","cardiovascular-risk-full","10. Cardiovascular Disease and Risk Management","","6 months; <130; 80 mmHg; >=50%; <70 mg/dL; <55 mg/dL; >=500 mg/dL; 150-499 mg/dL","","cardiovascular-risk"
"source-supported","kidney-disease-full","11. Chronic Kidney Disease and Risk Management","","5 years; >=20 mL/min/1.73 m2; <30 mL/min/1.73 m2","","kidney-disease"
"source-supported","retina-neuro-foot-full","12. Retinopathy, Neuropathy, and Foot Care","","5 years; 6-12 months; 3-6 months; 1-3 months","","retina-neuro-foot"
"source-supported","diagnostic-criteria","Diagnostic Criteria in Nonpregnant Individuals","",">=6.5%; >=126 mg/dL; >=200 mg/dL; 8 hours; 3-6 months; 5.7-6.4%; 100-125 mg/dL; 140-199 mg/dL; 75 g","","diagnosis-classification"
"source-supported","a1c-use-limitations","Using A1C Safely","","","","diagnosis-classification"
"source-supported","classification-type1","Classification and Type 1 Diabetes Screening","","","","diagnosis-classification"
"source-supported","prediabetes-type2-screening","Prediabetes and Type 2 Diabetes Screening","","35 years; 3 years; 150 g/day","","diagnosis-classification"
"source-supported","prediabetes-definition","Prediabetes Definition and Risk Meaning","","5.7-6.4%; 100-125 mg/dL; 140-199 mg/dL; >6.0%","","diagnosis-classification"
"source-supported","gdm-diagnosis","Gestational Diabetes Screening and Diagnosis","","15 weeks; 24-28 weeks; 92 mg/dL; 180 mg/dL; 153 mg/dL; 140 mg/dL; 24-28 week; 110-125 mg/dL; 5.9-6.4%","","diagnosis-classification"
"source-supported","population-health-core","Population Health and Person-Centered Care","","","","improving-care"
"source-supported","care-models-teams","Care Models, Teams, and Registries","","","","improving-care"
"source-supported","quality-improvement","Quality Improvement and Measurement","","","","improving-care"
"source-supported","sdoh-disparities","Social Determinants of Health and Disparities","","","","improving-care"
"source-supported","patient-subgroups","Matching Team Members to Patient Subgroups","","","","improving-care"
"source-supported","prevention-delay-full","3. Prevention or Delay of Diabetes and Comorbidities","",">=35; 25-59 years; >=110 mg/dL; >=6.0%","","prevention-delay"
"source-supported","comprehensive-evaluation-full","4. Comprehensive Medical Evaluation and Comorbidity Assessment","","","","comprehensive-evaluation"
"source-supported","older-adults-full","13. Older Adults","","<7.0-7.5%; 80-130 mg/dL; 80-180 mg/dL; <8.0%; 90-150 mg/dL; 100-180 mg/dL; 110-200 mg/dL; >10","","older-adults"
"source-supported","children-adolescents-full","14. Children and Adolescents","","<7%; <7.5%; <8%; 126-180 mg/dL","","children-adolescents"
"source-supported","pregnancy-management-full","15. Management of Diabetes in Pregnancy","","<95 mg/dL; <140 mg/dL; <120 mg/dL; 70-95 mg/dL; 110-140 mg/dL; 100-120 mg/dL; <6.5%; <6%; <7%; <70 mg/dL; <63 mg/dL; 4-12 weeks","","pregnancy-management"
"source-supported","hospital-care-full","16. Diabetes Care in the Hospital","","140-180 mg/dL; 100-180 mg/dL; >=180 mg/dL; >=200 mg/dL; >=3.0 mmol/L; <7.3; <18 mmol/L; >=600 mg/dL; >300; >320; >=7.3; >=15 mmol/L; 200 mg/dL; 250 mg/dL","","hospital-care; glycemic-goals"
"source-supported","advocacy-full","17. Diabetes Advocacy","","","","advocacy"
"source-supported","obesity-weight-full","8. Obesity and Weight Management","","3-7%; >10%","","obesity-weight"
"source-supported","pharmacologic-treatment-full","9. Pharmacologic Approaches to Glycemic Treatment","","3-6 months; 1.5-2.0%; >10%; >=300 mg/dL; <45 mL/min/1.73 m2; <30 mL/min/1.73 m2","","pharmacologic-treatment"
